source,target,relation,relation_zh,evidence,source_doc,source_url,count,weight,color
raw_cause:修好了，厅门调整不良,category:door_system_fault,CATEGORIZED_AS,归类为,修好了，厅门调整不良,local:fau_rep.xls,,3,0.0036319612590799033,#dc2626
raw_cause:光幕上太脏了,category:door_system_fault,CATEGORIZED_AS,归类为,光幕上太脏了,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕不亮需更换，已停,category:door_system_fault,CATEGORIZED_AS,归类为,光幕不亮需更换，已停,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕不好 现在可以用 已经跟客户说,category:door_system_fault,CATEGORIZED_AS,归类为,光幕不好 现在可以用 已经跟客户说,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕不好了，在坏就停梯了,category:door_system_fault,CATEGORIZED_AS,归类为,光幕不好了，在坏就停梯了,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕不良 调整已好,category:door_system_fault,CATEGORIZED_AS,归类为,光幕不良 调整已好,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕不良已好,category:door_system_fault,CATEGORIZED_AS,归类为,光幕不良已好,local:fau_rep.xls,,2,0.002421307506053269,#dc2626
raw_cause:光幕动作已修复,category:door_system_fault,CATEGORIZED_AS,归类为,光幕动作已修复,local:fau_rep.xls,,2,0.002421307506053269,#dc2626
raw_cause:光幕又被贴胶布，已清理。,category:door_system_fault,CATEGORIZED_AS,归类为,光幕又被贴胶布，已清理。,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕坏。已更换,category:door_system_fault,CATEGORIZED_AS,归类为,光幕坏。已更换,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕坏了 停梯,category:door_system_fault,CATEGORIZED_AS,归类为,光幕坏了 停梯,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
"raw_cause:光幕坏了,停梯",category:door_system_fault,CATEGORIZED_AS,归类为,"光幕坏了,停梯",local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:光幕坏了停梯,category:door_system_fault,CATEGORIZED_AS,归类为,光幕坏了停梯,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
