id,label,name,name_en,kind,kind_zh,description,source,source_url,count,weight,trapped_people,rescue_minutes,color,size
elevator:31103203822015073200,elevator:31103203822015073200,电梯 31103203822015073200,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205082023102026,elevator:31103205082023102026,电梯 31103205082023102026,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205812012120119,elevator:31103205812012120119,电梯 31103205812012120119,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205812015110105,elevator:31103205812015110105,电梯 31103205812015110105,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205812016120053,elevator:31103205812016120053,电梯 31103205812016120053,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205812019100002,elevator:31103205812019100002,电梯 31103205812019100002,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205822010053309,elevator:31103205822010053309,电梯 31103205822010053309,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205832008100037,elevator:31103205832008100037,电梯 31103205832008100037,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205832011080118,elevator:31103205832011080118,电梯 31103205832011080118,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205832012060095,elevator:31103205832012060095,电梯 31103205832012060095,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205832012060099,elevator:31103205832012060099,电梯 31103205832012060099,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205832012060100,elevator:31103205832012060100,电梯 31103205832012060100,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205832015010134,elevator:31103205832015010134,电梯 31103205832015010134,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205832015030295,elevator:31103205832015030295,电梯 31103205832015030295,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205832016030110,elevator:31103205832016030110,电梯 31103205832016030110,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103205832017090015,elevator:31103205832017090015,电梯 31103205832017090015,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103206812016061129,elevator:31103206812016061129,电梯 31103206812016061129,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103206812016064002,elevator:31103206812016064002,电梯 31103206812016064002,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103206812016064005,elevator:31103206812016064005,电梯 31103206812016064005,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103207032014110373,elevator:31103207032014110373,电梯 31103207032014110373,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103207052014060273,elevator:31103207052014060273,电梯 31103207052014060273,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103207222016070004,elevator:31103207222016070004,电梯 31103207222016070004,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103207222016070006,elevator:31103207222016070006,电梯 31103207222016070006,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
